,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,GSPC.Return
1,2724.189941,2737.830078,2716.02002,2736.610107,2953420000,2736.610107,NA
2,2737.679932,2764.409912,2733.52002,2759.820068,2554780000,2759.820068,0.00848128161941339
3,2775.620117,2784.649902,2770.72998,2784.169922,3050040000,2784.169922,0.00882298606432195
4,2788.560059,2795.580078,2786.23999,2793.840088,3063850000,2793.840088,0.00347326717510595
5,2779.820068,2785.909912,2770.77002,2774.02002,2964740000,2774.02002,-0.00709420273734722
6,2783.139893,2799.219971,2781.530029,2798.290039,2821690000,2798.290039,0.00874904248167612
7,2796.929932,2804.530029,2791.689941,2801.310059,2.614e+09,2801.310059,0.00107923766225433
8,2797.360107,2801.189941,2793.389893,2798.429932,2812230000,2798.429932,-0.00102813574339859
9,2789.340088,2814.189941,2789.23999,2809.550049,3050730000,2809.550049,0.00397369856319845
10,2811.350098,2816.76001,2805.889893,2815.620117,3089780000,2815.620117,0.00216051249991453
11,2809.370117,2812.050049,2799.77002,2804.48999,3266700000,2804.48999,-0.00395299313739059
12,2804.550049,2809.699951,2800.01001,2801.830078,3230210000,2801.830078,-0.000948447671228834
13,2799.169922,2808.610107,2795.139893,2806.97998,2907430000,2806.97998,0.00183804936653268
14,2820.679932,2829.98999,2811.120117,2820.399902,3417530000,2820.399902,0.00478091119125119
15,2817.72998,2848.030029,2817.72998,2846.070068,3553010000,2846.070068,0.00910160505316876
16,2835.48999,2845.570068,2835.26001,2837.439941,3653330000,2837.439941,-0.00303229604113875
17,2842.350098,2843.169922,2808.340088,2818.820068,3415710000,2818.820068,-0.00656220867654308
18,2819,2821.73999,2798.110107,2802.600098,3245770000,2802.600098,-0.00575417004587613
19,2809.72998,2824.459961,2808.060059,2816.290039,3892100000,2816.290039,0.0048847286524287
20,2821.169922,2825.830078,2805.850098,2813.360107,3496990000,2813.360107,-0.00104035165392282
21,2800.47998,2829.909912,2796.340088,2827.219971,3467380000,2827.219971,0.00492644505959792
22,2829.620117,2840.379883,2827.370117,2840.350098,3030390000,2840.350098,0.0046441830259694
23,2840.290039,2853.290039,2835.97998,2850.399902,2874540000,2850.399902,0.00353822720906014
24,2855.919922,2863.429932,2855.919922,2858.449951,3162770000,2858.449951,0.00282418231713788
25,2856.790039,2862.439941,2853.090088,2857.699951,2972200000,2857.699951,-0.000262379965665524
26,2857.189941,2862.47998,2851.97998,2853.580078,3047050000,2853.580078,-0.00144167444820735
27,2838.899902,2842.199951,2825.810059,2833.280029,3256040000,2833.280029,-0.00711388797409454
28,2835.459961,2843.399902,2819.879883,2821.929932,3158450000,2821.929932,-0.00400599195414016
29,2827.879883,2843.110107,2826.580078,2839.959961,2976970000,2839.959961,0.00638925467126021
30,2827.949951,2827.949951,2802.48999,2818.370117,3645070000,2818.370117,-0.00760216492362023
31,2831.439941,2850.48999,2831.439941,2840.689941,3219880000,2840.689941,0.00791940840749418
32,2838.320068,2855.629883,2833.72998,2850.129883,3024100000,2850.129883,0.00332311593171512
33,2853.929932,2859.76001,2850.620117,2857.050049,2748020000,2857.050049,0.0024280177690414
34,2861.51001,2873.22998,2861.320068,2862.959961,3147140000,2862.959961,0.00206853639195737
35,2860.98999,2867.540039,2856.050049,2861.820068,2689560000,2861.820068,-0.000398151918129472
36,2860.290039,2868.780029,2854.030029,2856.97998,2713910000,2856.97998,-0.00169126216358614
37,2862.350098,2876.159912,2862.350098,2874.689941,2596190000,2874.689941,0.00619883972725634
38,2884.689941,2898.25,2884.689941,2896.73999,2854080000,2896.73999,0.00767040948852019
39,2901.449951,2903.77002,2893.5,2897.52002,2683190000,2897.52002,0.000269278569251187
40,2900.620117,2916.5,2898.399902,2914.040039,2791860000,2914.040039,0.00570143394557117
41,2908.939941,2912.459961,2895.219971,2901.129883,2802180000,2901.129883,-0.0044303289684483
42,2898.370117,2906.320068,2891.72998,2901.52002,2880260000,2901.52002,0.000134477605530861
43,2896.959961,2900.179932,2885.129883,2896.719971,3077060000,2896.719971,-0.00165432220591742
44,2891.590088,2894.209961,2876.919922,2888.600098,3241250000,2888.600098,-0.00280312666784873
45,2888.639893,2892.050049,2867.290039,2878.050049,3139590000,2878.050049,-0.0036523051450786
46,2868.26001,2883.810059,2864.120117,2871.679932,2946270000,2871.679932,-0.00221334476174703
47,2881.389893,2886.929932,2875.939941,2877.129883,2731400000,2877.129883,0.00189782675265081
48,2871.570068,2892.52002,2866.780029,2887.889893,2899660000,2887.889893,0.0037398415912946
49,2888.290039,2894.649902,2879.199951,2888.919922,3264930000,2888.919922,0.000356671839358113
50,2896.850098,2906.76001,2896.389893,2904.179932,3254930000,2904.179932,0.00528225441065028
51,2906.379883,2908.300049,2895.77002,2904.97998,3149800000,2904.97998,0.000275481553737305
52,2903.830078,2904.649902,2886.159912,2888.800049,2947760000,2888.800049,-0.00556972203298975
53,2890.73999,2911.169922,2890.429932,2904.310059,3074610000,2904.310059,0.00536901472477092
54,2906.600098,2912.360107,2903.820068,2907.949951,3280020000,2907.949951,0.00125327252464684
55,2919.72998,2934.800049,2919.72998,2930.75,3337730000,2930.75,0.00784059195797347
56,2936.76001,2940.909912,2927.110107,2929.669922,5607610000,2929.669922,-0.000368532969376425
57,2921.830078,2923.790039,2912.629883,2919.370117,3372210000,2919.370117,-0.00351568786731057
58,2921.75,2923.949951,2913.699951,2915.560059,3285480000,2915.560059,-0.00130509591018055
59,2916.97998,2931.149902,2903.280029,2905.969971,3388620000,2905.969971,-0.00328927815100101
